"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","multiple_artist","top100","rank","Major","Minor","CSharp","FSharp","D","ASharp","GSharp","G","B","A","E","DSharp","F","taylor_swift","bad_bunny","the_weeknd","drake","peso_pluma"
"Romantic Homicide","d4vd",1,2022,7,20,2335,23,681583126,82,55,50,0,9,132,56,20,55,45,1,32,3,0,0,"Top 500",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cool for the Summer","demi lovato",1,2015,1,1,9243,0,677389855,155,5,577,0,6,114,59,30,62,1,0,8,4,0,0,"Top 500",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Forgot About Dre","eminem, dr. dre",2,1999,1,1,19067,0,675039469,78,15,NA,0,3,134,93,61,74,9,0,17,8,1,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Do It To It","cherish, acraze",2,2021,8,20,12403,0,674772936,183,63,465,0,11,125,85,64,81,2,5,7,9,1,0,"Top 500",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hey Mor","ozuna, feid",2,2022,10,6,4637,38,674072710,63,79,89,11,16,98,90,40,59,0,0,10,29,1,0,"Top 500",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volvï¿","aventura, bad bunny",2,2021,8,3,5375,10,673801126,138,24,133,0,1,176,73,79,86,42,0,7,18,1,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"You Right","doja cat, the weeknd",2,2021,6,24,5073,0,672656250,83,9,100,0,4,129,83,44,62,2,0,8,6,1,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Neverita","bad bunny",1,2022,5,6,2590,30,671365962,20,64,35,6,0,122,88,43,50,7,0,14,5,0,0,"Top 500",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"jealousy, jealousy","olivia rodrigo",1,2021,5,21,3257,0,665765558,10,0,70,0,0,164,70,71,58,24,0,7,13,0,0,"Top 500",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"It's the Most Wonderful Time of the Year","andy williams",1,1963,10,14,8879,0,663832097,182,107,160,0,1,202,24,76,60,77,0,12,4,0,0,"Top 500",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gasolina","daddy yankee",1,2004,7,13,6457,18,657723613,98,95,453,0,454,96,86,74,80,33,0,8,6,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
